SKU,PRODUCT,BARCODE,IMAGE_URL,IMAGE_SOURCE,IMAGE_LICENSE,IMAGE_CONFIDENCE,IMAGE_STATUS,MATCH_METHOD,NOTES
BC-000001,Banana Robusta 1 dozen,8900000000001,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000002,Banana Shrimanti 1 dozen,8900000000002,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000003,Onion Nashik Red 1 kg,8900000000003,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000004,Potato Indore Special 1 kg,8900000000004,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000005,Tomato Hybrid Red 1 kg,8900000000005,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000006,Green Chilli Tikka 250 g,8900000000006,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000007,Ginger Fresh Sonth 500 g,8900000000007,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000008,Garlic Desi 100 g,8900000000008,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000009,Coriander Leaf Bundle 1 bunch,8900000000009,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000010,Pomegranate Phule Arakta 2 kg,8900000000010,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000011,Guava Maharashtra Pink 500 g,8900000000011,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000012,Papaya Honey Sweet 1 pc approx 1kg,8900000000012,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000013,Orange Nagpur Juicym 1 kg,8900000000013,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000014,Apple Shimla Royal 2 kg,8900000000014,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000015,Lemon Nimbu Yellow 250 g,8900000000015,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000016,Lady Finger Bhindi 500 g,8900000000016,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000017,Brinjal Black Beauty 500 g,8900000000017,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000018,Cauliflower Gobhi 2 pcs,8900000000018,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000019,Cabbage Green 2 pcs,8900000000019,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000020,Spinach Palak Leaf 1 bunch,8900000000020,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000021,Banana Shrimanti 1 dozen,8900000000021,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000022,Onion Nashik Red 1 kg,8900000000022,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000023,Potato Indore Special 1 kg,8900000000023,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000024,Tomato Hybrid Red 1 kg,8900000000024,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000025,Green Chilli Tikka 500 g,8900000000025,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000026,Ginger Fresh Sonth 100 g,8900000000026,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000027,Garlic Desi 100 g,8900000000027,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000028,Coriander Leaf Bundle 1 bunch,8900000000028,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000029,Pomegranate Phule Arakta 500 g,8900000000029,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000030,Guava Maharashtra Pink 1 kg,8900000000030,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000031,Papaya Honey Sweet 1 pc approx 1kg,8900000000031,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000032,Orange Nagpur Juicym 1 kg,8900000000032,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000033,Apple Shimla Royal 1 kg,8900000000033,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000034,Lemon Nimbu Yellow 250 g,8900000000034,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000035,Lady Finger Bhindi 1 kg,8900000000035,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000036,Brinjal Black Beauty 500 g,8900000000036,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000037,Cauliflower Gobhi 1 pc,8900000000037,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
BC-000038,Cabbage Green 2 pcs,8900000000038,,IMAGE_REQUIRED,,0,MISSING,NO_MATCH,No candidate found in any source
