productId,brand,name,displayName,category,subcategory,section,packSize,quantity,unit,variant,flavour,size,mrp,estimatedMRP,sellingPrice,discount,manufacturer,barcode,gtin,sku,stock,availability,bhusawalAvailability,prescriptionRequired,vegNonVeg,restaurantName,shopName,image,imageSource,imageLicenseStatus,sourceURL,sourceName,searchKeywords,verificationStatus,mrpVerificationStatus,imageVerificationStatus,duplicateStatus,ageRestricted,legalReviewRequired,dataConflict,lastVerifiedDate,notes
BC-FOOD-000001,Royal Biryani & Caterers,Bhusawal Special Tarri Poha,Bhusawal Special Tarri Poha,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Flattened rice served with hot spicy black chana tarri gravy, chopped onions and crunchy sev for a signature Bhusawal breakfast.",,Standard Serving,40,,40,,Royal Biryani & Caterers,,,bc_food_101,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_101.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"bhusawal special tarri poha,poha,tarri,special,vegetarian,veg,bhusawal,breakfast",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000002,Royal Biryani & Caterers,Kanda Poha,Kanda Poha,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Soft flattened rice tempered with mustard seeds, green chillies, turmeric and sautéed onions, served fresh.",,Standard Serving,30,,30,,Royal Biryani & Caterers,,,bc_food_102,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_102.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"poha,vegetarian,veg,kanda poha,breakfast,kanda",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000003,Royal Biryani & Caterers,Sabudana Khichdi,Sabudana Khichdi,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Soaked sago pearls sautéed with roasted peanut powder, green chillies, cumin and boiled potatoes.",,Standard Serving,50,,50,,Royal Biryani & Caterers,,,bc_food_103,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_103.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"khichdi,sabudana khichdi,sabudana,vegetarian,veg,breakfast",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000004,Royal Biryani & Caterers,Sabudana Vada (2 pcs),Sabudana Vada 2 pcs,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Crispy sago and mashed potato patties spiced with green chillies and crushed peanuts, perfect for fasts.",,Standard Serving,50,,50,,Royal Biryani & Caterers,,,bc_food_104,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_104.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"sabudana vada (2 pcs),sabudana,vegetarian,veg,pcs),vada,breakfast",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000005,Royal Biryani & Caterers,Upma,Upma,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Traditional roasted semolina porridge cooked with mustard seeds, curry leaves, green chillies and roasted peanuts.",,Standard Serving,40,,40,,Royal Biryani & Caterers,,,bc_food_105,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_105.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"breakfast,veg,vegetarian,upma",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000006,Royal Biryani & Caterers,Sheera,Sheera,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,Traditional vegetarian Sheera prepared in classic style with authentic spices and fresh ingredients for a hearty meal.,,Standard Serving,50,,50,,Royal Biryani & Caterers,,,bc_food_106,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_106.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"breakfast,veg,vegetarian,sheera",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000007,Royal Biryani & Caterers,Steamed Idli Sambar (2 pcs),Steamed Idli Sambar 2 pcs,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,Steamed soft and fluffy rice-lentil cakes served with hot lentil sambar and fresh coconut chutney.,,Standard Serving,40,,40,,Royal Biryani & Caterers,,,bc_food_107,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_107.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"sambar,steamed,vegetarian,steamed idli sambar (2 pcs),veg,pcs),breakfast,idli",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000008,Royal Biryani & Caterers,Medu Vada Sambar (2 pcs),Medu Vada Sambar 2 pcs,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Deep-fried crispy black gram donuts spiced with peppercorns and curry leaves, served with chutney and sambar.",,Standard Serving,50,,50,,Royal Biryani & Caterers,,,bc_food_108,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_108.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"sambar,medu,medu vada sambar (2 pcs),vegetarian,veg,pcs),vada,breakfast",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000009,Royal Biryani & Caterers,Idli Vada Combo,Idli Vada Combo,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,Steamed soft and fluffy rice-lentil cakes served with hot lentil sambar and fresh coconut chutney. (Special Idli Vada Combo preparation #2),,Standard Serving,60,,60,,Royal Biryani & Caterers,,,bc_food_109,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_109.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"vegetarian,veg,idli vada combo,vada,breakfast,combo,idli",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
BC-FOOD-000010,Royal Biryani & Caterers,Plain Dosa,Plain Dosa,Breakfast,Breakfast,Food,1 Serving / Portion,1,portion,"Thin and crispy fermented rice batter crepê cooked to a golden crisp, served with coconut chutney and lentil sambar.",,Standard Serving,60,,60,,Royal Biryani & Caterers,,,bc_food_110,99,AVAILABLE,AVAILABLE,NO,VEG,Royal Biryani & Caterers,Royal Biryani & Caterers,/images/food/bc_food_110.webp?v=20260810_razor_sharp_hd_v11,SOURCE_CATALOG,REVIEW_REQUIRED,,Bhusawal Connect Food & Restaurant Catalog,"vegetarian,veg,plain dosa,dosa,breakfast,plain",VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Preserved from existing verified Bhusawal Connect Food catalog (225 items).
