productId,brand,name,displayName,category,subcategory,section,packSize,quantity,unit,variant,flavour,size,mrp,estimatedMRP,sellingPrice,discount,manufacturer,barcode,gtin,sku,stock,availability,bhusawalAvailability,prescriptionRequired,vegNonVeg,restaurantName,shopName,image,imageSource,imageLicenseStatus,sourceURL,sourceName,searchKeywords,verificationStatus,mrpVerificationStatus,imageVerificationStatus,duplicateStatus,ageRestricted,legalReviewRequired,dataConflict,lastVerifiedDate,notes
BC-MED-000001,Micro Labs,Dolo 650mg Tablet,Dolo 650mg Tablet,Pain Relief,OTC Healthcare,Health & OTC,15 Tablets,1,tablets,,,15 Tablets,34,,32,6% OFF,Micro Labs,,,med_101,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,dolo 650mg tablet micro labs pain relief medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000002,Sanofi,Combiflam Pain Relief Tablet,Combiflam Pain Relief Tablet,Pain Relief,OTC Healthcare,Health & OTC,20 Tablets,1,tablets,,,20 Tablets,48,,45,6% OFF,Sanofi,,,med_102,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584017911766-d451b3d0e843?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,combiflam pain relief tablet sanofi pain relief medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000003,Sun Pharma,Volini Pain Relief Spray,Volini Pain Relief Spray,Pain Relief,OTC Healthcare,Health & OTC,100g Can,1,pack,,,100g Can,245,,215,12% OFF,Sun Pharma,,,med_103,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1607613009820-a29f7bb81c04?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,volini pain relief spray sun pharma pain relief medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000004,Abbott,Brufen 400mg Tablet,Brufen 400mg Tablet,Pain Relief,Prescription Drugs,Medicines,15 Tablets,1,tablets,,,15 Tablets,40,,35,13% OFF,Abbott,,,med_104,50,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,brufen 400mg tablet abbott pain relief medicine bhusawal pharmacy prescription,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,YES,NO,2026-09-11,Prescription required from a registered medical practitioner before dispatch.
BC-MED-000005,Aristo Pharma,Flexon MR Tablet,Flexon MR Tablet,Pain Relief,Prescription Drugs,Medicines,10 Tablets,1,tablets,,,10 Tablets,99,,89,10% OFF,Aristo Pharma,,,med_105,50,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584017911766-d451b3d0e843?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,flexon mr tablet aristo pharma pain relief medicine bhusawal pharmacy prescription,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,YES,NO,2026-09-11,Prescription required from a registered medical practitioner before dispatch.
BC-MED-000006,GSK,Crocin Advance 500mg,Crocin Advance 500mg,Cold & Fever,OTC Healthcare,Health & OTC,20 Tablets,1,tablets,,,20 Tablets,30,,28,7% OFF,GSK,,,med_201,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584017911766-d451b3d0e843?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,crocin advance 500mg gsk cold & fever medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000007,P&G,Vicks Vaporub Relief Balm,Vicks Vaporub Relief Balm,Cold & Fever,OTC Healthcare,Health & OTC,50g Jar,1,pack,,,50g Jar,160,,145,9% OFF,P&G,,,med_202,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1576602976047-174e57a47881?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,vicks vaporub relief balm p&g cold & fever medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000008,Centaur Pharma,Sinarest New Tablet,Sinarest New Tablet,Cold & Fever,OTC Healthcare,Health & OTC,15 Tablets,1,tablets,,,15 Tablets,48,,42,13% OFF,Centaur Pharma,,,med_203,50,AVAILABLE,AVAILABLE,NO,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,sinarest new tablet centaur pharma cold & fever medicine bhusawal pharmacy otc,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Over-the-counter wellness product.
BC-MED-000009,Sanofi,Allegra 120mg Tablet,Allegra 120mg Tablet,Cold & Fever,Prescription Drugs,Medicines,10 Tablets,1,tablets,,,10 Tablets,196,,175,11% OFF,Sanofi,,,med_204,50,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584017911766-d451b3d0e843?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,allegra 120mg tablet sanofi cold & fever medicine bhusawal pharmacy prescription,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,YES,NO,2026-09-11,Prescription required from a registered medical practitioner before dispatch.
BC-MED-000010,USV,Glycomet GP 2 Tablet,Glycomet GP 2 Tablet,Diabetes,Prescription Drugs,Medicines,15 Tablets,1,tablets,,,15 Tablets,150,,135,10% OFF,USV,,,med_301,50,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,glycomet gp 2 tablet usv diabetes medicine bhusawal pharmacy prescription,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,YES,NO,2026-09-11,Prescription required from a registered medical practitioner before dispatch.
BC-MED-000011,MSD,Janumet 50/500mg Tablet,Janumet 50/500mg Tablet,Diabetes,Prescription Drugs,Medicines,7 Tablets,1,tablets,,,7 Tablets,310,,285,8% OFF,MSD,,,med_302,50,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Partner Medical Directory,janumet 50/500mg tablet msd diabetes medicine bhusawal pharmacy prescription,VERIFIED,VERIFIED,VERIFIED,UNIQUE,NO,YES,NO,2026-09-11,Prescription required from a registered medical practitioner before dispatch.
