productId,brand,name,displayName,category,subcategory,section,packSize,quantity,unit,variant,flavour,size,mrp,estimatedMRP,sellingPrice,discount,manufacturer,barcode,gtin,sku,stock,availability,bhusawalAvailability,prescriptionRequired,vegNonVeg,restaurantName,shopName,image,imageSource,imageLicenseStatus,sourceURL,sourceName,searchKeywords,verificationStatus,mrpVerificationStatus,imageVerificationStatus,duplicateStatus,ageRestricted,legalReviewRequired,dataConflict,lastVerifiedDate,notes
BC-SHOP-000001,Apollo Pharmacy - Station Road,Apollo Pharmacy - Station Road - Store Listing & Delivery Service,Apollo Pharmacy - Station Road,Pharmacy & Wellness,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Apollo Pharmacy - Station Road,,,apollo_bhusawal,999,AVAILABLE,AVAILABLE,YES,NA,,Apollo Pharmacy - Station Road,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,apollo pharmacy - station road pharmacy & wellness medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000002,Wellness Forever Chemists 24x7,Wellness Forever Chemists 24x7 - Store Listing & Delivery Service,Wellness Forever Chemists 24x7,24x7 Emergency Chemists,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Wellness Forever Chemists 24x7,,,wellness_forever,999,AVAILABLE,AVAILABLE,YES,NA,,Wellness Forever Chemists 24x7,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,wellness forever chemists 24x7 24x7 emergency chemists medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000003,Shree Samarth Medical & Surgicals,Shree Samarth Medical & Surgicals - Store Listing & Delivery Service,Shree Samarth Medical & Surgicals,Surgicals & Healthcare,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Shree Samarth Medical & Surgicals,,,samarth_medical,999,AVAILABLE,AVAILABLE,YES,NA,,Shree Samarth Medical & Surgicals,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,shree samarth medical & surgicals surgicals & healthcare medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000004,New Maharashtra Medical Store,New Maharashtra Medical Store - Store Listing & Delivery Service,New Maharashtra Medical Store,Prescription & Healthcare,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,New Maharashtra Medical Store,,,maharashtra_medical,999,AVAILABLE,AVAILABLE,YES,NA,,New Maharashtra Medical Store,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,new maharashtra medical store prescription & healthcare medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000005,Shri Ram Medico & Healthcare,Shri Ram Medico & Healthcare - Store Listing & Delivery Service,Shri Ram Medico & Healthcare,Ayurvedic & Healthcare,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Shri Ram Medico & Healthcare,,,ram_medical,999,AVAILABLE,AVAILABLE,YES,NA,,Shri Ram Medico & Healthcare,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,shri ram medico & healthcare ayurvedic & healthcare medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000006,Royal Biryani & Caterers,Royal Biryani & Caterers - Store Listing & Delivery Service,Royal Biryani & Caterers,Mughlai & North Indian Dining,Restaurant,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Royal Biryani & Caterers,,,royal_biryani,999,AVAILABLE,AVAILABLE,NO,NA,Royal Biryani & Caterers,Royal Biryani & Caterers,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,royal biryani & caterers mughlai & north indian dining restaurant bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000007,Bhusawal Express Superstore,Bhusawal Express Superstore - Store Listing & Delivery Service,Bhusawal Express Superstore,Supermarket & FMCG,Superstore,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Bhusawal Express Superstore,,,bhusawal_express,999,AVAILABLE,AVAILABLE,NO,NA,,Bhusawal Express Superstore,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,bhusawal express superstore supermarket & fmcg superstore bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000008,Modern Pharmacy & Wellness,Modern Pharmacy & Wellness - Store Listing & Delivery Service,Modern Pharmacy & Wellness,Essential Healthcare & Baby Care,Medical,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Modern Pharmacy & Wellness,,,modern_pharmacy,999,AVAILABLE,AVAILABLE,YES,NA,,Modern Pharmacy & Wellness,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,modern pharmacy & wellness essential healthcare & baby care medical bhusawal partner store,VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000009,Shiv Dairy & Sweets,Shiv Dairy & Sweets - Store Listing & Delivery Service,Shiv Dairy & Sweets,"Fresh Dairy, Paneer & Sweets",Dairy & Sweets,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Shiv Dairy & Sweets,,,shiv_dairy,999,AVAILABLE,AVAILABLE,NO,VEG,,Shiv Dairy & Sweets,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,"shiv dairy & sweets fresh dairy, paneer & sweets dairy & sweets bhusawal partner store",VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
BC-SHOP-000010,Kwality Wall's Ice Cream Hub,Kwality Wall's Ice Cream Hub - Store Listing & Delivery Service,Kwality Wall's Ice Cream Hub,"Ice Creams, Shakes & Desserts",Ice Cream & Desserts,Local Shops,Store Order & Express Delivery,1,store_service,Verified Partner Store,,,,,,,Kwality Wall's Ice Cream Hub,,,kwality_hub,999,AVAILABLE,AVAILABLE,NO,NA,,Kwality Wall's Ice Cream Hub,https://images.unsplash.com/photo-1578916171728-46686eac8d58?auto=format&fit=crop&w=800&q=80,UNSPLASH,LICENSED,,Bhusawal Connect Local Partner Directory,"kwality wall's ice cream hub ice creams, shakes & desserts ice cream & desserts bhusawal partner store",VERIFIED,NOT_AVAILABLE,VERIFIED,UNIQUE,NO,NO,NO,2026-09-11,Verified local business partner serving Bhusawal city.
